datetime,open,high,low,close,% change
2020-06-01 21:54:00,298.36,298.43,298.0,298.38,0.0067033114358432
2020-06-01 21:53:00,298.11,298.41,298.01,298.36,0.0838616618026902
2020-06-01 21:52:00,298.25,298.41,297.84,298.11,-0.0469404861693164
2020-06-01 21:51:00,298.9,298.94,298.03,298.29,-0.2040816326530468
2020-06-01 21:50:00,298.98,299.19,298.74,298.9,-0.026757642651696
2020-06-01 21:49:00,298.93,299.03,298.8,298.98,0.0167263238885395
2020-06-01 21:48:00,299.21,299.21,298.8,298.93,-0.093579760034749
2020-06-01 21:47:00,299.38,299.59,299.08,299.21,-0.0567840203086431
2020-06-01 21:46:00,299.41,299.47,299.21,299.38,-0.0100197054206705
2020-06-01 21:45:00,299.37,299.45,299.0,299.41,0.01336139225708
2020-06-01 21:44:00,299.26,299.39,299.08,299.33,0.0233910312103165
2020-06-01 21:43:00,299.2,299.3,298.72,299.26,0.0200534759358296
2020-06-01 21:42:00,298.6,299.27,298.56,299.2,0.2009377093101024
2020-06-01 21:41:00,298.66,298.98,298.46,298.6,-0.0200897341458522
2020-06-01 21:40:00,298.89,298.96,298.39,298.66,-0.0769513867978056
2020-06-01 21:39:00,298.74,299.13,298.74,298.89,0.0502108857200164
2020-06-01 21:38:00,298.55,299.1,298.54,298.73,0.0602914084742947
2020-06-01 21:37:00,298.01,298.6,297.94,298.55,0.1812019730881582
2020-06-01 21:36:00,298.09,298.28,297.81,298.01,-0.0268375322889007
2020-06-01 21:35:00,298.23,298.31,297.85,298.09,-0.0469436341079177
2020-06-01 21:34:00,298.0,298.29,297.83,298.23,0.0771812080536973
2020-06-01 21:33:00,297.83,298.25,297.83,298.0,0.0570795420206211
2020-06-01 21:32:00,297.86,297.95,297.67,297.83,-0.010071845833623
2020-06-01 21:31:00,297.69,297.87,297.33,297.86,0.0571063858376216
2020-06-01 21:30:00,298.26,298.29,297.67,297.69,-0.1911084288875455
2020-06-01 21:29:00,298.22,298.3,298.0,298.26,0.0134129166387108
2020-06-01 21:28:00,297.82,298.23,297.82,298.22,0.1343093143509617
2020-06-01 21:27:00,297.86,297.98,297.6,297.82,-0.0134291277781576
2020-06-01 21:26:00,297.57,297.93,297.57,297.86,0.0974560607588199
2020-06-01 21:25:00,297.45,297.67,297.42,297.57,0.040342914775594
2020-06-01 21:24:00,296.6,297.49,296.6,297.45,0.2865812542144187
2020-06-01 21:23:00,296.53,296.64,296.48,296.6,0.0236063804674232
2020-06-01 21:22:00,296.56,296.66,296.46,296.53,-0.010115996762891
2020-06-01 21:21:00,296.61,296.64,296.45,296.56,-0.0168571524898052
2020-06-01 21:20:00,296.41,296.64,296.36,296.61,0.0674741068115072
2020-06-01 21:19:00,296.25,296.5,296.25,296.41,0.0540084388185738
2020-06-01 21:18:00,296.03,296.28,296.03,296.25,0.0743167922170142
2020-06-01 21:17:00,295.89,296.25,295.88,296.03,0.047314880529922
2020-06-01 21:16:00,295.7,295.97,295.52,295.88,0.0608725059181626
2020-06-01 21:15:00,295.9,295.93,295.58,295.7,-0.067590402162889
2020-06-01 21:14:00,295.68,295.95,295.68,295.91,0.0777867965368026
2020-06-01 21:13:00,295.67,295.77,295.6,295.68,0.0033821490174826
2020-06-01 21:12:00,295.59,295.8,295.59,295.67,0.027064515037735
2020-06-01 21:11:00,295.7,295.74,295.5,295.59,-0.0371998647277692
2020-06-01 21:10:00,295.89,295.92,295.69,295.7,-0.0642130521477568
2020-06-01 21:09:00,295.78,295.94,295.78,295.88,0.0338089120292185
2020-06-01 21:08:00,295.7,295.89,295.7,295.78,0.0270544470747325
2020-06-01 21:07:00,295.62,295.73,295.42,295.7,0.0270617684865652
2020-06-01 21:06:00,295.88,295.93,295.62,295.62,-0.0878734622144081
2020-06-01 21:05:00,295.81,295.97,295.66,295.88,0.0236638382745658
2020-06-01 21:04:00,295.86,295.97,295.67,295.81,-0.0168998850807852
2020-06-01 21:03:00,295.46,295.92,295.43,295.86,0.1353821160224849
2020-06-01 21:02:00,295.56,295.56,295.36,295.46,-0.03383407768305
2020-06-01 21:01:00,295.48,295.66,295.48,295.56,0.0270745904968133
2020-06-01 21:00:00,295.48,295.57,295.43,295.48,0.0
2020-06-01 20:59:00,295.29,295.5,295.27,295.48,0.0643435267025628
2020-06-01 20:58:00,295.25,295.36,295.18,295.3,0.0169348010160919
2020-06-01 20:57:00,295.27,295.28,295.17,295.25,-0.006773461577533
2020-06-01 20:56:00,295.22,295.41,295.2,295.27,0.0169365219158439
2020-06-01 20:55:00,295.16,295.4,295.16,295.22,0.0203279577178487
2020-06-01 20:54:00,295.36,295.4,295.11,295.16,-0.0677139761646765
2020-06-01 20:53:00,295.28,295.48,295.28,295.36,0.0270929287456112
2020-06-01 20:52:00,295.33,295.47,295.16,295.28,-0.0169302136593002
2020-06-01 20:51:00,295.46,295.46,295.1,295.33,-0.0439991877073023
2020-06-01 20:50:00,295.47,295.49,295.26,295.43,-0.0135377534098285
2020-06-01 20:49:00,295.01,295.49,295.01,295.47,0.1559269177316146
2020-06-01 20:48:00,295.23,295.33,294.87,295.01,-0.0745181722724747
2020-06-01 20:47:00,295.16,295.33,295.1,295.23,0.0237159506708202
2020-06-01 20:46:00,295.17,295.41,295.1,295.16,-0.0033878781718978
2020-06-01 20:45:00,295.41,295.44,295.08,295.17,-0.0812430181781283
2020-06-01 20:44:00,295.5,295.5,295.04,295.41,-0.0304568527918697
2020-06-01 20:43:00,294.88,295.5,294.85,295.5,0.2102550189907774
2020-06-01 20:42:00,294.83,294.97,294.76,294.88,0.0169589254824852
2020-06-01 20:41:00,294.8,294.95,294.67,294.83,0.0101763907733964
2020-06-01 20:40:00,294.29,294.96,294.27,294.8,0.1732984471099904
2020-06-01 20:39:00,294.23,294.29,294.05,294.29,0.0203922101757136
2020-06-01 20:38:00,294.6,294.65,294.23,294.23,-0.1255940257976933
2020-06-01 20:37:00,294.72,294.72,294.47,294.58,-0.0475027144408398
