datetime,open,high,low,close,% change
2024-11-06 21:54:00,288.9,289.05,288.78,288.9,0.0
2024-11-06 21:53:00,288.93,289.11,288.86,288.89,-0.0138441837123249
2024-11-06 21:52:00,288.8,288.99,288.78,288.93,0.0450138504155108
2024-11-06 21:51:00,289.34,289.34,288.62,288.8,-0.1866316444321434
2024-11-06 21:50:00,289.33,289.34,288.99,289.33,0.0
2024-11-06 21:49:00,289.1,289.31,289.08,289.29,0.0657212037357307
2024-11-06 21:48:00,288.81,289.08,288.78,289.08,0.0934870676223059
2024-11-06 21:47:00,288.85,289.07,288.76,288.79,-0.0207720270036358
2024-11-06 21:46:00,288.78,288.86,288.73,288.84,0.0207770621234165
2024-11-06 21:45:00,288.76,288.86,288.71,288.82,0.0207785011774491
2024-11-06 21:44:00,288.75,288.8,288.66,288.77,0.0069264069264006
2024-11-06 21:43:00,288.75,288.82,288.71,288.75,0.0
2024-11-06 21:42:00,288.61,288.75,288.56,288.75,0.0485083676934223
2024-11-06 21:41:00,288.65,288.83,288.5,288.62,-0.0103932097696077
2024-11-06 21:40:00,288.79,288.84,288.58,288.64,-0.0519408566778746
2024-11-06 21:39:00,288.74,288.87,288.73,288.81,0.0242432638359746
2024-11-06 21:38:00,288.68,288.86,288.65,288.77,0.031176389081327
2024-11-06 21:37:00,288.64,288.72,288.51,288.67,0.0103935698447995
2024-11-06 21:36:00,288.41,288.65,288.26,288.65,0.0832148677230166
2024-11-06 21:35:00,288.16,288.43,288.16,288.39,0.0798167684619521
2024-11-06 21:34:00,287.82,288.19,287.59,288.16,0.1181293864220804
2024-11-06 21:33:00,288.46,288.47,287.8,287.82,-0.2218678499618617
2024-11-06 21:32:00,288.55,288.65,288.43,288.44,-0.0381216426962445
2024-11-06 21:31:00,288.65,288.65,288.43,288.54,-0.0381084358219147
2024-11-06 21:30:00,288.62,288.76,288.52,288.63,0.0034647633566595
2024-11-06 21:29:00,288.55,288.73,288.38,288.62,0.024259227170332
2024-11-06 21:28:00,288.48,288.59,288.43,288.55,0.0242651136993875
2024-11-06 21:27:00,288.48,288.48,288.28,288.45,-0.0103993344426059
2024-11-06 21:26:00,288.47,288.55,288.22,288.48,0.0034665649807574
2024-11-06 21:25:00,288.25,288.48,288.23,288.47,0.0763226366001829
2024-11-06 21:24:00,288.33,288.33,288.08,288.23,-0.0346824818783913
2024-11-06 21:23:00,288.54,288.54,288.35,288.35,-0.0658487558050869
2024-11-06 21:22:00,288.79,288.79,288.53,288.54,-0.0865680944631046
2024-11-06 21:21:00,289.33,289.36,288.75,288.79,-0.1866380949089149
2024-11-06 21:20:00,289.32,289.38,289.2,289.37,0.0172819023918192
2024-11-06 21:19:00,289.19,289.36,289.15,289.34,0.0518690134513563
2024-11-06 21:18:00,289.04,289.17,288.91,289.17,0.044976473844449
2024-11-06 21:17:00,289.27,289.28,289.03,289.05,-0.0760535140180352
2024-11-06 21:16:00,288.92,289.27,288.9,289.27,0.1211408002215028
2024-11-06 21:15:00,288.89,288.96,288.88,288.9,0.003461525147977
2024-11-06 21:14:00,288.89,288.94,288.79,288.88,-0.003461525147977
2024-11-06 21:13:00,288.83,288.95,288.83,288.89,0.0207734653602473
2024-11-06 21:12:00,288.81,288.89,288.54,288.83,0.0069249679720168
2024-11-06 21:11:00,288.86,288.97,288.7,288.81,-0.0173094232500212
2024-11-06 21:10:00,288.73,288.87,288.62,288.87,0.0484882069753701
2024-11-06 21:09:00,288.68,288.73,288.6,288.71,0.0103921296937691
2024-11-06 21:08:00,288.61,288.75,288.55,288.69,0.0277190672533814
2024-11-06 21:07:00,288.61,288.81,288.55,288.6,-0.0034648834066702
2024-11-06 21:06:00,288.76,288.89,288.54,288.57,-0.0657985870619191
2024-11-06 21:05:00,288.53,288.76,288.53,288.76,0.0797144144456445
2024-11-06 21:04:00,288.73,288.8,288.48,288.53,-0.0692688671076942
2024-11-06 21:03:00,288.81,288.94,288.69,288.74,-0.0242373879020785
2024-11-06 21:02:00,288.52,288.82,288.27,288.76,0.0831831415499823
2024-11-06 21:01:00,288.71,288.89,288.5,288.51,-0.0692736656160121
2024-11-06 21:00:00,288.85,288.95,288.69,288.71,-0.0484680630084968
2024-11-06 20:59:00,288.81,288.95,288.8,288.88,0.0242373879020785
2024-11-06 20:58:00,288.71,288.85,288.64,288.8,0.0311731495272182
2024-11-06 20:57:00,288.65,288.75,288.6,288.67,0.0069288065130915
2024-11-06 20:56:00,288.41,288.65,288.39,288.65,0.0832148677230166
2024-11-06 20:55:00,288.57,288.7,288.38,288.47,-0.0346536368991807
2024-11-06 20:54:00,288.34,288.6,288.33,288.6,0.0901713255185016
2024-11-06 20:53:00,288.48,288.6,288.29,288.38,-0.0346644481419934
2024-11-06 20:52:00,288.01,288.57,287.86,288.5,0.1701329814937013
2024-11-06 20:51:00,287.83,288.09,287.82,288.02,0.0660111871590861
2024-11-06 20:50:00,287.94,288.12,287.83,287.83,-0.0382024032784655
2024-11-06 20:49:00,287.78,287.95,287.75,287.93,0.0521231496282
2024-11-06 20:48:00,287.82,287.88,287.73,287.75,-0.0243207560280707
2024-11-06 20:47:00,287.82,287.87,287.71,287.8,-0.0069487874365859
2024-11-06 20:46:00,287.88,287.96,287.72,287.82,-0.0208420175072954
2024-11-06 20:45:00,287.78,287.95,287.76,287.88,0.0347487664188
2024-11-06 20:44:00,287.69,287.95,287.63,287.76,0.0243317459765696
