datetime,open,high,low,close,% change
2019-05-22 21:54:00,64.5,64.53,64.43,64.51,0.0155038759690001
2019-05-22 21:53:00,64.38,64.53,64.38,64.5,0.1863932898415728
2019-05-22 21:52:00,64.37,64.4,64.34,64.38,0.0155351871989916
2019-05-22 21:51:00,64.39,64.4,64.34,64.37,-0.0310607237148563
2019-05-22 21:50:00,64.3,64.4,64.3,64.38,0.1244167962674934
2019-05-22 21:49:00,64.37,64.39,64.3,64.3,-0.1087463103930517
2019-05-22 21:48:00,64.4,64.4,64.32,64.37,-0.0465838509316787
2019-05-22 21:47:00,64.34,64.41,64.34,64.4,0.0932545850171002
2019-05-22 21:46:00,64.51,64.53,64.33,64.34,-0.2635250348783161
2019-05-22 21:45:00,64.44,64.53,64.43,64.51,0.108628181253891
2019-05-22 21:44:00,64.56,64.58,64.39,64.44,-0.1858736059479624
2019-05-22 21:43:00,64.48,64.57,64.48,64.56,0.1240694789081859
2019-05-22 21:42:00,64.33,64.51,64.31,64.48,0.2331727032488818
2019-05-22 21:41:00,64.26,64.37,64.26,64.33,0.1089324618736277
2019-05-22 21:40:00,64.23,64.29,64.2,64.26,0.0467071461933693
2019-05-22 21:39:00,64.19,64.32,64.19,64.23,0.0623150023368223
2019-05-22 21:38:00,64.19,64.22,64.16,64.19,0.0
2019-05-22 21:37:00,64.28,64.29,64.18,64.19,-0.1400124455507209
2019-05-22 21:36:00,64.26,64.35,64.19,64.28,0.031123560535319
2019-05-22 21:35:00,64.16,64.28,64.12,64.26,0.1558603491271953
2019-05-22 21:34:00,64.09,64.19,64.09,64.16,0.1092214073958389
2019-05-22 21:33:00,64.06,64.12,64.04,64.09,0.0468310958476446
2019-05-22 21:32:00,64.06,64.1,64.02,64.04,-0.031220730565089
2019-05-22 21:31:00,64.01,64.08,63.97,64.06,0.0781127948757962
2019-05-22 21:30:00,64.0,64.06,64.0,64.01,0.0156250000000079
2019-05-22 21:29:00,64.13,64.14,63.96,64.0,-0.2027132387338148
2019-05-22 21:28:00,64.03,64.12,64.01,64.12,0.140559112915826
2019-05-22 21:27:00,63.96,64.11,63.96,64.03,0.1094434021263293
2019-05-22 21:26:00,63.95,63.96,63.93,63.96,0.0156372165754464
2019-05-22 21:25:00,63.95,64.0,63.93,63.95,0.0
2019-05-22 21:24:00,64.01,64.03,63.92,63.95,-0.0937353538509643
2019-05-22 21:23:00,63.96,64.06,63.96,64.01,0.0781738586616702
2019-05-22 21:22:00,64.03,64.03,63.96,63.96,-0.1093237544900832
2019-05-22 21:21:00,64.0,64.03,64.0,64.03,0.0468750000000017
2019-05-22 21:20:00,64.11,64.13,63.97,64.0,-0.1715800967087808
2019-05-22 21:19:00,64.12,64.12,64.04,64.1,-0.031191515907689
2019-05-22 21:18:00,64.1,64.15,64.1,64.12,0.0312012480499379
2019-05-22 21:17:00,64.06,64.13,64.05,64.1,0.062441461130178
2019-05-22 21:16:00,64.05,64.12,64.05,64.06,0.0156128024980563
2019-05-22 21:15:00,64.0,64.08,63.97,64.06,0.0937500000000035
2019-05-22 21:14:00,64.07,64.07,64.0,64.0,-0.1092555017949011
2019-05-22 21:13:00,64.14,64.17,64.06,64.07,-0.1091362644215893
2019-05-22 21:12:00,64.06,64.19,64.03,64.14,0.1248829222603782
2019-05-22 21:11:00,63.95,64.12,63.95,64.06,0.1720093823299444
2019-05-22 21:10:00,64.0,64.02,63.92,63.95,-0.0781249999999955
2019-05-22 21:09:00,64.0,64.08,63.96,64.0,0.0
2019-05-22 21:08:00,64.09,64.09,64.0,64.0,-0.140427523794669
2019-05-22 21:07:00,64.14,64.18,64.04,64.08,-0.093545369504213
2019-05-22 21:06:00,64.2,64.21,64.1,64.13,-0.1090342679127841
2019-05-22 21:05:00,64.3,64.33,64.2,64.2,-0.1555209953343613
2019-05-22 21:04:00,64.29,64.34,64.28,64.3,0.0155545185876355
2019-05-22 21:03:00,64.34,64.35,64.26,64.29,-0.0777121541809094
2019-05-22 21:02:00,64.46,64.49,64.34,64.34,-0.1861619609059732
2019-05-22 21:01:00,64.43,64.48,64.43,64.46,0.0465621604842261
2019-05-22 21:00:00,64.44,64.46,64.38,64.42,-0.0310366232153879
2019-05-22 20:59:00,64.42,64.48,64.42,64.44,0.0310462589257932
2019-05-22 20:58:00,64.45,64.48,64.42,64.42,-0.046547711404191
2019-05-22 20:57:00,64.37,64.46,64.33,64.45,0.1242814975920433
2019-05-22 20:56:00,64.43,64.43,64.33,64.37,-0.0931243209684964
2019-05-22 20:55:00,64.54,64.57,64.43,64.43,-0.1704369383328159
2019-05-22 20:54:00,64.54,64.54,64.48,64.54,0.0
2019-05-22 20:53:00,64.58,64.59,64.53,64.53,-0.0774233508826218
2019-05-22 20:52:00,64.55,64.6,64.53,64.58,0.0464756003098391
2019-05-22 20:51:00,64.66,64.68,64.55,64.55,-0.170120630992885
2019-05-22 20:50:00,64.6,64.7,64.6,64.66,0.0928792569659478
2019-05-22 20:49:00,64.54,64.63,64.54,64.6,0.0929656027269725
2019-05-22 20:48:00,64.51,64.57,64.5,64.54,0.0465044179197041
2019-05-22 20:47:00,64.63,64.63,64.5,64.51,-0.1856722884109397
2019-05-22 20:46:00,64.61,64.66,64.61,64.65,0.0619099210648603
2019-05-22 20:45:00,64.69,64.71,64.61,64.61,-0.1236667181944632
2019-05-22 20:44:00,64.63,64.75,64.63,64.69,0.0928361442054808
2019-05-22 20:43:00,64.57,64.66,64.55,64.63,0.0929224097878307
2019-05-22 20:42:00,64.55,64.6,64.45,64.57,0.0309837335398853
2019-05-22 20:41:00,64.53,64.58,64.46,64.55,0.0309933364326608
2019-05-22 20:40:00,64.58,64.67,64.52,64.52,-0.0929080210591549
2019-05-22 20:39:00,64.63,64.63,64.58,64.58,-0.07736345350456
2019-05-22 20:38:00,64.64,64.68,64.59,64.63,-0.0154702970297108
2019-05-22 20:37:00,64.72,64.72,64.61,64.64,-0.1236093943139652
2019-05-22 20:36:00,64.71,64.8,64.68,64.72,0.0154535620460595
