datetime,open,high,low,close,% change
2023-10-31 21:54:00,200.67,200.69,200.31,200.62,-0.0249165296257452
2023-10-31 21:53:00,200.65,200.76,200.47,200.72,0.0348866184899043
2023-10-31 21:52:00,200.9,200.9,200.45,200.67,-0.1144848183175799
2023-10-31 21:51:00,201.23,201.23,200.88,200.9,-0.1639914525667068
2023-10-31 21:50:00,200.89,201.42,200.89,201.23,0.1692468515107787
2023-10-31 21:49:00,200.93,201.05,200.89,200.89,-0.019907430448425
2023-10-31 21:48:00,200.88,201.02,200.81,200.91,0.014934289127838
2023-10-31 21:47:00,200.81,200.89,200.64,200.89,0.0398386534535053
2023-10-31 21:46:00,200.65,200.88,200.62,200.82,0.0847246449040555
2023-10-31 21:45:00,200.87,200.87,200.57,200.65,-0.1095235724597993
2023-10-31 21:44:00,200.7,200.9,200.7,200.87,0.0847035376183437
2023-10-31 21:43:00,200.94,200.99,200.63,200.7,-0.1194386383995267
2023-10-31 21:42:00,200.89,201.05,200.82,200.97,0.0398227885907772
2023-10-31 21:41:00,200.62,200.94,200.52,200.88,0.1295982454391341
2023-10-31 21:40:00,200.79,200.93,200.59,200.62,-0.0846655709945652
2023-10-31 21:39:00,200.74,200.83,200.69,200.79,0.0249078409883346
2023-10-31 21:38:00,201.0,201.1,200.7,200.74,-0.1293532338308412
2023-10-31 21:37:00,200.97,201.09,200.95,201.0,0.0149276011344982
2023-10-31 21:36:00,200.94,201.04,200.89,200.97,0.0149298297999408
2023-10-31 21:35:00,200.84,200.98,200.81,200.94,0.0497908783110905
2023-10-31 21:34:00,201.03,201.05,200.84,200.84,-0.0945132567278504
2023-10-31 21:33:00,200.9,201.13,200.88,201.03,0.0647088103534073
2023-10-31 21:32:00,201.19,201.2,200.8,200.88,-0.1540832049306637
2023-10-31 21:31:00,201.27,201.34,201.15,201.19,-0.039747602722717
2023-10-31 21:30:00,201.67,201.67,201.26,201.27,-0.1983438290276081
2023-10-31 21:29:00,201.56,201.72,201.56,201.68,0.0595356221472536
2023-10-31 21:28:00,201.6,201.69,201.56,201.56,-0.0198412698412658
2023-10-31 21:27:00,201.62,201.79,201.58,201.6,-0.0099196508282959
2023-10-31 21:26:00,201.66,201.75,201.58,201.61,-0.0247942080729856
2023-10-31 21:25:00,201.63,201.72,201.54,201.64,0.00495957942766
2023-10-31 21:24:00,201.47,201.64,201.43,201.62,0.0744527721248849
2023-10-31 21:23:00,201.9,201.92,201.41,201.46,-0.2179296681525496
2023-10-31 21:22:00,201.98,202.0,201.78,201.9,-0.0396078819685038
2023-10-31 21:21:00,201.91,201.99,201.79,201.96,0.024763508493889
2023-10-31 21:20:00,202.13,202.24,201.79,201.88,-0.1236827784099342
2023-10-31 21:19:00,202.16,202.29,202.09,202.12,-0.0197863078749465
2023-10-31 21:18:00,202.13,202.36,202.13,202.16,0.0148419334091926
2023-10-31 21:17:00,202.14,202.26,202.01,202.16,0.0098941327792669
2023-10-31 21:16:00,202.46,202.78,202.06,202.14,-0.1580559122789793
2023-10-31 21:15:00,202.27,202.49,202.17,202.49,0.1087655114450975
2023-10-31 21:14:00,202.45,202.53,202.22,202.27,-0.0889108421832444
2023-10-31 21:13:00,202.45,202.53,202.33,202.45,0.0
2023-10-31 21:12:00,202.3,202.45,202.25,202.45,0.0741473059812047
2023-10-31 21:11:00,202.03,202.3,201.94,202.3,0.133643518289368
2023-10-31 21:10:00,201.85,202.16,201.83,202.05,0.0990834778300802
2023-10-31 21:09:00,201.48,201.89,201.48,201.87,0.1935675997617703
2023-10-31 21:08:00,201.64,201.64,201.42,201.48,-0.0793493354493139
2023-10-31 21:07:00,201.6,201.71,201.56,201.61,0.004960317460327
2023-10-31 21:06:00,201.69,201.75,201.57,201.6,-0.0446229361892029
2023-10-31 21:05:00,201.99,202.0,201.62,201.69,-0.148522204069514
2023-10-31 21:04:00,201.95,202.09,201.9,202.0,0.0247586036147617
2023-10-31 21:03:00,202.09,202.18,201.93,201.97,-0.0593794843881461
2023-10-31 21:02:00,202.03,202.26,201.97,202.08,0.0247487996832209
2023-10-31 21:01:00,201.64,202.09,201.64,202.04,0.1983733386232918
2023-10-31 21:00:00,201.47,201.67,201.33,201.64,0.0843798084081935
2023-10-31 20:59:00,201.62,201.62,201.4,201.51,-0.0545580795556064
2023-10-31 20:58:00,201.63,201.76,201.58,201.65,0.0099191588553341
2023-10-31 20:57:00,201.57,201.72,201.57,201.61,0.0198442228506327
2023-10-31 20:56:00,201.66,201.73,201.49,201.59,-0.0347118913021884
2023-10-31 20:55:00,201.46,201.7,201.43,201.67,0.1042390548992254
2023-10-31 20:54:00,201.42,201.55,201.4,201.46,0.0198590010922552
2023-10-31 20:53:00,201.54,201.56,201.26,201.4,-0.0694651185868742
2023-10-31 20:52:00,201.45,201.55,201.37,201.55,0.0496401092082515
2023-10-31 20:51:00,201.63,201.63,201.33,201.49,-0.0694341119872967
2023-10-31 20:50:00,201.45,201.66,201.45,201.62,0.0843881856540163
2023-10-31 20:49:00,201.48,201.8,201.39,201.43,-0.0248163589438073
2023-10-31 20:48:00,201.41,201.56,201.36,201.48,0.0347549774092613
2023-10-31 20:47:00,201.24,201.43,201.24,201.4,0.0795070562512405
2023-10-31 20:46:00,201.67,201.67,201.12,201.24,-0.2132196162046801
2023-10-31 20:45:00,201.6,201.81,201.51,201.67,0.0347222222222188
2023-10-31 20:44:00,201.61,201.68,201.55,201.59,-0.0099201428500621
2023-10-31 20:43:00,201.56,201.66,201.54,201.61,0.024806509228027
2023-10-31 20:42:00,201.44,201.7,201.42,201.56,0.0595710881652127
2023-10-31 20:41:00,201.57,201.57,201.4,201.46,-0.0545716128392048
2023-10-31 20:40:00,201.44,201.61,201.33,201.57,0.0645353455123091
2023-10-31 20:39:00,201.58,201.71,201.38,201.44,-0.0694513344577908
2023-10-31 20:38:00,201.67,201.76,201.56,201.58,-0.0446273615312019
2023-10-31 20:37:00,201.64,201.67,201.48,201.65,0.0049593334655918
2023-10-31 20:36:00,201.34,201.71,201.18,201.64,0.1490016886857966
2023-10-31 20:35:00,201.25,201.42,201.14,201.38,0.0645962732919232
2023-10-31 20:34:00,201.43,201.43,201.24,201.24,-0.0943255721590615
2023-10-31 20:33:00,201.23,201.48,201.23,201.41,0.0894498832182114
2023-10-31 20:32:00,201.4,201.43,201.22,201.28,-0.0595829195630608
2023-10-31 20:31:00,201.23,201.4,201.18,201.4,0.0844804452616488
2023-10-31 20:30:00,201.02,201.33,201.02,201.25,0.1144164759725349
2023-10-31 20:29:00,201.23,201.36,201.04,201.04,-0.094419321174774
2023-10-31 20:28:00,201.17,201.29,201.09,201.24,0.0347964408212067
2023-10-31 20:27:00,201.18,201.37,201.14,201.17,-0.0049706730291377
2023-10-31 20:26:00,201.28,201.46,201.13,201.18,-0.0496820349761498
2023-10-31 20:25:00,201.58,201.58,201.23,201.28,-0.1488242881238274
2023-10-31 20:24:00,201.64,201.66,201.31,201.54,-0.0495933346558194
2023-10-31 20:23:00,202.0,202.0,201.54,201.63,-0.1831683168316854
2023-10-31 20:22:00,201.84,202.09,201.84,201.99,0.0743162901307994
2023-10-31 20:21:00,201.85,201.92,201.73,201.84,-0.004954173891499
2023-10-31 20:20:00,201.88,201.89,201.74,201.86,-0.0099068753714988
2023-10-31 20:19:00,201.79,201.96,201.73,201.88,0.044600822637397
2023-10-31 20:18:00,201.94,201.95,201.76,201.79,-0.0742794889571187
2023-10-31 20:17:00,202.1,202.24,201.88,201.93,-0.0841167738743134
2023-10-31 20:16:00,201.87,202.17,201.72,202.12,0.1238420765839401
2023-10-31 20:15:00,201.75,201.89,201.68,201.86,0.054522924411407
2023-10-31 20:14:00,201.75,201.87,201.74,201.75,0.0
2023-10-31 20:13:00,201.82,201.84,201.61,201.75,-0.0346843722128595
2023-10-31 20:12:00,201.97,202.01,201.81,201.81,-0.0792196860919921
2023-10-31 20:11:00,201.76,202.04,201.74,201.98,0.1090404440919899
2023-10-31 20:10:00,201.93,201.99,201.69,201.84,-0.0445699004605573
2023-10-31 20:09:00,202.25,202.26,201.8,201.93,-0.1582200247218755
2023-10-31 20:08:00,202.32,202.39,202.19,202.24,-0.0395413206801028
2023-10-31 20:07:00,202.33,202.54,202.28,202.32,-0.0049424207977162
2023-10-31 20:06:00,202.16,202.38,202.14,202.33,0.0840918084685476
2023-10-31 20:05:00,202.32,202.41,202.11,202.15,-0.0840253064452291
2023-10-31 20:04:00,202.22,202.39,202.18,202.36,0.0692315300168206
2023-10-31 20:03:00,202.12,202.22,202.0,202.16,0.019790223629523
2023-10-31 20:02:00,201.6,202.19,201.58,202.11,0.2529761904762
2023-10-31 20:01:00,201.55,201.64,201.38,201.62,0.0347308360208351
2023-10-31 20:00:00,201.34,201.74,201.34,201.55,0.1043011820800675
2023-10-31 19:59:00,201.37,201.4,201.24,201.34,-0.0148979490490148
2023-10-31 19:58:00,201.02,201.63,201.02,201.37,0.1741120286538624
2023-10-31 19:57:00,201.08,201.09,200.87,201.0,-0.0397851601352757
2023-10-31 19:56:00,201.19,201.19,201.05,201.11,-0.039763407724034
2023-10-31 19:55:00,201.11,201.26,201.03,201.2,0.0447516284620232
2023-10-31 19:54:00,201.08,201.22,201.04,201.11,0.0149194350507266
2023-10-31 19:53:00,200.68,201.1,200.66,201.09,0.2043053617699803
2023-10-31 19:52:00,200.68,200.78,200.53,200.68,0.0
2023-10-31 19:51:00,199.99,200.77,199.97,200.69,0.3500175008750381
2023-10-31 19:50:00,199.92,200.02,199.88,199.97,0.0250100040016063
2023-10-31 19:49:00,199.95,199.96,199.66,199.88,-0.0350087521880436
2023-10-31 19:48:00,200.0,200.01,199.8,199.95,-0.0250000000000056
2023-10-31 19:47:00,199.74,200.06,199.74,200.0,0.1301692199859772
2023-10-31 19:46:00,199.79,199.79,199.68,199.74,-0.0250262775914625
2023-10-31 19:45:00,199.88,199.88,199.61,199.79,-0.0450270162097275
