datetime,open,high,low,close,% change
2023-09-27 21:54:00,240.4,240.57,240.21,240.43,0.0124792013311152
2023-09-27 21:53:00,240.35,240.42,240.01,240.41,0.024963594757646
2023-09-27 21:52:00,240.64,240.65,240.32,240.35,-0.120511968085103
2023-09-27 21:51:00,240.53,240.78,240.4,240.62,0.0374173699746407
2023-09-27 21:50:00,239.89,240.62,239.89,240.54,0.2709575221976763
2023-09-27 21:49:00,239.81,239.96,239.69,239.87,0.0250198073474843
2023-09-27 21:48:00,239.89,239.91,239.6,239.83,-0.0250114635874666
2023-09-27 21:47:00,239.89,240.02,239.83,239.89,0.0
2023-09-27 21:46:00,239.78,240.07,239.74,239.9,0.0500458753857721
2023-09-27 21:45:00,239.84,239.89,239.57,239.77,-0.0291861240827189
2023-09-27 21:44:00,239.56,240.01,239.5,239.85,0.1210552679913141
2023-09-27 21:43:00,239.71,239.92,239.52,239.56,-0.062575612198075
2023-09-27 21:42:00,240.12,240.16,239.63,239.72,-0.1665833749791794
2023-09-27 21:41:00,240.36,240.49,240.1,240.14,-0.0915293726077663
2023-09-27 21:40:00,241.01,241.03,240.29,240.33,-0.2821459690469185
2023-09-27 21:39:00,241.15,241.19,240.93,241.03,-0.0497615591955233
2023-09-27 21:38:00,240.95,241.22,240.92,241.16,0.0871550114131595
2023-09-27 21:37:00,241.22,241.35,240.92,240.96,-0.1077854240941841
2023-09-27 21:36:00,241.74,241.75,241.15,241.22,-0.2151071399023786
2023-09-27 21:35:00,241.83,241.88,241.64,241.74,-0.0372162262746571
2023-09-27 21:34:00,241.73,241.88,241.61,241.82,0.037231622057669
2023-09-27 21:33:00,241.84,241.92,241.6,241.72,-0.049619583195503
2023-09-27 21:32:00,241.36,241.86,241.25,241.83,0.1947298641034135
2023-09-27 21:31:00,241.05,241.49,241.01,241.38,0.1369010578718042
2023-09-27 21:30:00,241.43,241.48,241.01,241.06,-0.1532535310441968
2023-09-27 21:29:00,241.68,241.69,241.17,241.44,-0.0993048659384347
2023-09-27 21:28:00,241.23,241.81,241.15,241.67,0.1823985408116725
2023-09-27 21:27:00,241.34,241.35,241.07,241.23,-0.04557885141295
2023-09-27 21:26:00,241.74,241.85,241.36,241.39,-0.1447836518573768
2023-09-27 21:25:00,241.72,241.88,241.62,241.75,0.0124110541121964
2023-09-27 21:24:00,241.62,241.82,241.61,241.73,0.0455260326131881
2023-09-27 21:23:00,241.9,241.96,241.53,241.61,-0.1198842496899512
2023-09-27 21:22:00,242.07,242.17,241.65,241.9,-0.0702276201098804
2023-09-27 21:21:00,241.62,242.1,241.54,242.07,0.1862428606903355
2023-09-27 21:20:00,241.59,241.8,241.53,241.61,0.0082784883480318
2023-09-27 21:19:00,241.87,241.87,241.54,241.58,-0.1198991193616372
2023-09-27 21:18:00,241.93,241.93,241.64,241.87,-0.0248005621460762
2023-09-27 21:17:00,241.71,242.12,241.66,241.99,0.1158412974225316
2023-09-27 21:16:00,241.58,241.97,241.44,241.7,0.0496729861743422
2023-09-27 21:15:00,241.6,241.81,241.33,241.56,-0.0165562913907251
2023-09-27 21:14:00,242.01,242.01,241.37,241.6,-0.1694144870046678
