datetime,open,high,low,close,% change
2020-01-06 21:54:00,150.25,150.33,150.22,150.29,0.0266222961730396
2020-01-06 21:53:00,150.14,150.25,150.14,150.25,0.0732649527108123
2020-01-06 21:52:00,150.09,150.2,150.09,150.14,0.0333133453261262
2020-01-06 21:51:00,150.2,150.23,150.08,150.16,-0.0266311584553875
2020-01-06 21:50:00,150.22,150.26,150.18,150.19,-0.0199707096258827
2020-01-06 21:49:00,150.19,150.25,150.16,150.22,0.0199746987149618
2020-01-06 21:48:00,150.2,150.23,150.13,150.19,-0.0066577896138421
2020-01-06 21:47:00,150.08,150.21,150.08,150.2,0.0799573560767431
2020-01-06 21:46:00,150.24,150.25,150.07,150.08,-0.1064962726304556
2020-01-06 21:45:00,150.24,150.27,150.16,150.24,0.0
2020-01-06 21:44:00,150.08,150.25,150.04,150.24,0.1066098081023431
2020-01-06 21:43:00,150.04,150.11,150.01,150.08,0.0266595574513599
2020-01-06 21:42:00,149.95,150.06,149.91,150.04,0.0600200066688919
2020-01-06 21:41:00,149.93,150.0,149.9,149.96,0.0200093376909231
2020-01-06 21:40:00,149.82,149.95,149.81,149.93,0.0734214390602147
2020-01-06 21:39:00,149.88,149.9,149.81,149.82,-0.0400320256204979
2020-01-06 21:38:00,149.78,149.89,149.78,149.88,0.0667645880624878
2020-01-06 21:37:00,149.73,149.79,149.73,149.78,0.0333934415280914
2020-01-06 21:36:00,149.73,149.78,149.71,149.73,0.0
2020-01-06 21:35:00,149.77,149.92,149.73,149.73,-0.0267076183481474
2020-01-06 21:34:00,149.75,149.85,149.75,149.77,0.0133555926544308
2020-01-06 21:33:00,149.72,149.81,149.7,149.75,0.0200374031525521
2020-01-06 21:32:00,149.72,149.79,149.67,149.71,-0.0066791343841777
2020-01-06 21:31:00,149.69,149.76,149.68,149.72,0.0200414189324611
2020-01-06 21:30:00,149.52,149.71,149.5,149.69,0.1136971642589536
2020-01-06 21:29:00,149.53,149.56,149.52,149.52,-0.0066876212131284
2020-01-06 21:28:00,149.62,149.62,149.5,149.53,-0.0601523860446487
2020-01-06 21:27:00,149.6,149.68,149.6,149.62,0.013368983957226
2020-01-06 21:26:00,149.66,149.66,149.57,149.59,-0.0467726847521002
2020-01-06 21:25:00,149.68,149.71,149.65,149.66,-0.0133618385889966
2020-01-06 21:24:00,149.7,149.73,149.64,149.68,-0.0133600534402016
2020-01-06 21:23:00,149.7,149.73,149.57,149.69,-0.0066800267201008
2020-01-06 21:22:00,149.77,149.78,149.7,149.7,-0.0467383321092485
2020-01-06 21:21:00,149.78,149.8,149.76,149.77,-0.006676458806243
