datetime,open,high,low,close,% change
2021-06-11 21:54:00,203.25,203.35,203.22,203.22,-0.0147601476014765
2021-06-11 21:53:00,202.98,203.27,202.98,203.23,0.123164843826978
2021-06-11 21:52:00,202.75,202.98,202.73,202.98,0.1134401972872945
2021-06-11 21:51:00,202.79,202.91,202.7,202.76,-0.0147936288771641
2021-06-11 21:50:00,202.43,202.85,202.43,202.78,0.1728992738230471
2021-06-11 21:49:00,202.32,202.38,202.29,202.38,0.0296559905100841
2021-06-11 21:48:00,202.34,202.38,202.2,202.34,0.0
2021-06-11 21:47:00,202.02,202.37,202.02,202.36,0.1683001683001699
2021-06-11 21:46:00,201.88,202.04,201.84,202.04,0.0792550029720609
2021-06-11 21:45:00,201.85,201.87,201.77,201.87,0.0099083477830122
2021-06-11 21:44:00,201.78,201.9,201.7,201.83,0.0247794627812525
2021-06-11 21:43:00,201.94,201.97,201.82,201.85,-0.0445676933742712
2021-06-11 21:42:00,202.19,202.19,201.92,201.94,-0.1236460754735644
2021-06-11 21:41:00,202.45,202.45,202.19,202.2,-0.1234872808100765
2021-06-11 21:40:00,202.49,202.55,202.39,202.45,-0.0197540619289942
2021-06-11 21:39:00,202.57,202.59,202.48,202.5,-0.0345559559658356
2021-06-11 21:38:00,202.54,202.6,202.51,202.56,0.0098745926730572
2021-06-11 21:37:00,202.57,202.65,202.5,202.55,-0.009873130275945
2021-06-11 21:36:00,202.59,202.62,202.54,202.57,-0.009872155585177
2021-06-11 21:35:00,202.54,202.62,202.49,202.62,0.0394983706922151
2021-06-11 21:34:00,202.44,202.57,202.44,202.54,0.0493973523019138
2021-06-11 21:33:00,202.51,202.52,202.35,202.44,-0.0345661942620083
2021-06-11 21:32:00,202.62,202.62,202.51,202.51,-0.0542888165038069
2021-06-11 21:31:00,202.58,202.66,202.53,202.62,0.0197452858130082
2021-06-11 21:30:00,202.61,202.67,202.56,202.57,-0.0197423621736441
2021-06-11 21:29:00,202.63,202.64,202.55,202.62,-0.0049351033904115
2021-06-11 21:28:00,202.57,202.69,202.54,202.63,0.029619390827863
2021-06-11 21:27:00,202.55,202.73,202.55,202.57,0.0098741051592109
2021-06-11 21:26:00,202.58,202.58,202.43,202.54,-0.0197452858130222
2021-06-11 21:25:00,202.52,202.59,202.5,202.58,0.0296267035354544
2021-06-11 21:24:00,202.51,202.56,202.43,202.53,0.0098760555034369
2021-06-11 21:23:00,202.63,202.63,202.49,202.51,-0.0592212406849945
2021-06-11 21:22:00,202.6,202.65,202.54,202.63,0.0148075024679176
2021-06-11 21:21:00,202.51,202.63,202.47,202.56,0.0246901387585854
2021-06-11 21:20:00,202.61,202.77,202.6,202.61,0.0
2021-06-11 21:19:00,202.61,202.63,202.54,202.61,0.0
2021-06-11 21:18:00,202.62,202.73,202.55,202.58,-0.0197413878195597
2021-06-11 21:17:00,202.39,202.69,202.39,202.62,0.1136419783586235
2021-06-11 21:16:00,202.22,202.44,202.2,202.35,0.0642864207298958
2021-06-11 21:15:00,202.15,202.25,202.13,202.22,0.0346277516695489
2021-06-11 21:14:00,202.22,202.22,202.14,202.14,-0.0395608742953281
2021-06-11 21:13:00,202.32,202.32,202.15,202.23,-0.0444839857651262
2021-06-11 21:12:00,202.3,202.34,202.23,202.32,0.0098863074641531
2021-06-11 21:11:00,202.37,202.38,202.28,202.29,-0.0395315511192432
2021-06-11 21:10:00,202.42,202.46,202.32,202.35,-0.0345815630866481
2021-06-11 21:09:00,202.34,202.46,202.34,202.41,0.0345952357418173
2021-06-11 21:08:00,202.29,202.36,202.28,202.34,0.0247169904592473
2021-06-11 21:07:00,202.29,202.34,202.23,202.32,0.0148301942755455
2021-06-11 21:06:00,202.34,202.41,202.28,202.29,-0.0247108826727346
2021-06-11 21:05:00,202.45,202.45,202.35,202.35,-0.0493949123240278
2021-06-11 21:04:00,202.53,202.53,202.38,202.44,-0.0444378610576227
2021-06-11 21:03:00,202.54,202.64,202.52,202.52,-0.0098745926730432
2021-06-11 21:02:00,202.64,202.66,202.51,202.56,-0.0394788787998342
2021-06-11 21:01:00,202.61,202.71,202.6,202.64,0.014806771630212
2021-06-11 21:00:00,202.71,202.75,202.57,202.61,-0.0493315573972642
2021-06-11 20:59:00,202.8,202.8,202.7,202.72,-0.0394477317554302
2021-06-11 20:58:00,202.83,202.86,202.77,202.8,-0.0147907114332204
2021-06-11 20:57:00,202.82,202.91,202.79,202.83,0.0049304802287838
2021-06-11 20:56:00,202.77,202.85,202.72,202.8,0.0147950880307743
2021-06-11 20:55:00,202.85,202.86,202.74,202.76,-0.0443677594281505
2021-06-11 20:54:00,202.93,202.93,202.8,202.85,-0.0394224609471307
2021-06-11 20:53:00,202.94,202.96,202.81,202.92,-0.0098551295949592
2021-06-11 20:52:00,202.92,202.94,202.77,202.92,0.0
2021-06-11 20:51:00,203.13,203.15,202.84,202.91,-0.1083050263378126
2021-06-11 20:50:00,203.18,203.18,203.12,203.12,-0.0295304655970086
2021-06-11 20:49:00,203.16,203.18,203.09,203.18,0.0098444575703929
2021-06-11 20:48:00,203.22,203.23,203.1,203.16,-0.0295246530853273
2021-06-11 20:47:00,203.25,203.29,203.2,203.21,-0.0196801968019641
2021-06-11 20:46:00,203.26,203.26,203.12,203.26,0.0
2021-06-11 20:45:00,203.32,203.33,203.19,203.26,-0.0295101318119232
2021-06-11 20:44:00,203.24,203.33,203.21,203.33,0.0442826215311963
2021-06-11 20:43:00,203.33,203.39,203.16,203.24,-0.0442630207052591
2021-06-11 20:42:00,203.17,203.37,203.16,203.33,0.0787517842201235
2021-06-11 20:41:00,203.25,203.27,203.08,203.15,-0.0492004920049172
2021-06-11 20:40:00,203.24,203.25,203.16,203.23,-0.0049202912812533
2021-06-11 20:39:00,203.34,203.34,203.14,203.22,-0.0590144585423451
2021-06-11 20:38:00,203.4,203.52,203.34,203.35,-0.0245821042281275
2021-06-11 20:37:00,203.3,203.4,203.24,203.4,0.0491883915395938
2021-06-11 20:36:00,203.46,203.49,203.2,203.22,-0.1179593040401106
2021-06-11 20:35:00,203.18,203.47,203.16,203.46,0.1378088394527026
2021-06-11 20:34:00,203.09,203.19,203.06,203.19,0.0492392535329136
2021-06-11 20:33:00,203.08,203.12,203.05,203.09,0.0049241678156346
2021-06-11 20:32:00,203.14,203.25,203.08,203.09,-0.0246135669981209
2021-06-11 20:31:00,203.27,203.28,203.12,203.14,-0.0639543464357868
2021-06-11 20:30:00,203.16,203.3,203.16,203.24,0.0393778302815576
2021-06-11 20:29:00,203.17,203.2,203.1,203.16,-0.0049219865137524
2021-06-11 20:28:00,203.27,203.29,203.14,203.14,-0.0639543464357868
2021-06-11 20:27:00,203.24,203.27,203.16,203.27,0.0147608738437321
2021-06-11 20:26:00,203.23,203.26,203.19,203.23,0.0
2021-06-11 20:25:00,203.12,203.27,203.11,203.25,0.0640015754233928
2021-06-11 20:24:00,203.14,203.17,203.09,203.12,-0.0098454267992427
2021-06-11 20:23:00,203.16,203.18,203.1,203.13,-0.0147666863555823
2021-06-11 20:22:00,203.1,203.15,203.0,203.15,0.024618414574107
2021-06-11 20:21:00,203.24,203.24,203.08,203.13,-0.054123204093689
2021-06-11 20:20:00,203.36,203.46,203.22,203.23,-0.063926042486243
2021-06-11 20:19:00,203.29,203.37,203.19,203.37,0.0393526489251869
2021-06-11 20:18:00,203.34,203.36,203.29,203.3,-0.019671486180777
2021-06-11 20:17:00,203.24,203.36,203.22,203.34,0.0492029128124357
2021-06-11 20:16:00,203.34,203.41,203.23,203.24,-0.0491787154519496
2021-06-11 20:15:00,203.3,203.37,203.29,203.33,0.0147565174618795
2021-06-11 20:14:00,203.25,203.3,203.18,203.3,0.0246002460024656
2021-06-11 20:13:00,203.26,203.31,203.24,203.29,0.0147594214306804
2021-06-11 20:12:00,203.2,203.33,203.2,203.26,0.0295275590551192
2021-06-11 20:11:00,203.17,203.31,203.17,203.2,0.0147659595412714
2021-06-11 20:10:00,203.21,203.3,203.18,203.21,0.0
2021-06-11 20:09:00,203.19,203.27,203.17,203.25,0.0295290122545412
2021-06-11 20:08:00,203.53,203.53,203.2,203.2,-0.1621382597160185
2021-06-11 20:07:00,203.56,203.63,203.51,203.54,-0.0098251129888043
2021-06-11 20:06:00,203.55,203.61,203.55,203.55,0.0
2021-06-11 20:05:00,203.53,203.68,203.53,203.57,0.0196531223898157
2021-06-11 20:04:00,203.58,203.58,203.51,203.54,-0.0196482955103745
2021-06-11 20:03:00,203.64,203.65,203.57,203.58,-0.029463759575709
2021-06-11 20:02:00,203.66,203.75,203.58,203.61,-0.0245507217912122
2021-06-11 20:01:00,203.62,203.71,203.58,203.63,0.0049111089283915
2021-06-11 20:00:00,203.67,203.71,203.58,203.63,-0.019639613099618
2021-06-11 19:59:00,203.73,203.74,203.65,203.68,-0.0245422863593888
2021-06-11 19:58:00,203.81,203.89,203.69,203.71,-0.0490653059221796
2021-06-11 19:57:00,203.79,203.84,203.76,203.8,0.0049070121203294
2021-06-11 19:56:00,203.87,203.88,203.7,203.78,-0.044145779173004
2021-06-11 19:55:00,203.69,203.87,203.69,203.87,0.0883695812263767
2021-06-11 19:54:00,203.6,203.74,203.58,203.69,0.0442043222003946
2021-06-11 19:53:00,203.76,203.76,203.53,203.56,-0.0981546917942621
2021-06-11 19:52:00,203.75,203.81,203.7,203.76,0.0049079754601182
2021-06-11 19:51:00,203.75,203.87,203.72,203.75,0.0
2021-06-11 19:50:00,203.75,203.79,203.67,203.79,0.0196319018404868
2021-06-11 19:49:00,203.93,203.94,203.74,203.76,-0.0833619379198822
2021-06-11 19:48:00,204.02,204.03,203.86,203.92,-0.0490148024703571
2021-06-11 19:47:00,203.84,204.03,203.82,204.03,0.0932103610675028
2021-06-11 19:46:00,203.81,203.92,203.8,203.84,0.0147195917766552
2021-06-11 19:45:00,203.74,203.87,203.74,203.81,0.0343575144792348
2021-06-11 19:44:00,203.65,203.79,203.64,203.79,0.0687453965136196
2021-06-11 19:43:00,203.5,203.65,203.5,203.65,0.0737100737100765
2021-06-11 19:42:00,203.53,203.62,203.49,203.54,0.0049132805974504
2021-06-11 19:41:00,203.58,203.59,203.47,203.51,-0.0343845171431484
2021-06-11 19:40:00,203.55,203.59,203.43,203.58,0.0147383935151074
2021-06-11 19:39:00,203.48,203.58,203.45,203.52,0.019657951641449
2021-06-11 19:38:00,203.53,203.59,203.42,203.48,-0.0245664029872801
2021-06-11 19:37:00,203.61,203.64,203.4,203.5,-0.0540248514316652
2021-06-11 19:36:00,203.69,203.75,203.59,203.62,-0.0343659482546974
2021-06-11 19:35:00,203.71,203.74,203.53,203.69,-0.0098178783564921
2021-06-11 19:34:00,203.79,203.79,203.69,203.76,-0.0147210363609603
2021-06-11 19:33:00,203.83,203.83,203.71,203.79,-0.0196241966344603
2021-06-11 19:32:00,203.93,203.97,203.82,203.82,-0.0539400774775725
2021-06-11 19:31:00,203.89,204.0,203.77,203.87,-0.0098092108489782
2021-06-11 19:30:00,203.87,203.93,203.83,203.88,0.0049050865747735
2021-06-11 19:29:00,203.89,204.08,203.88,203.88,-0.0049046054244891
2021-06-11 19:28:00,204.01,204.02,203.85,203.93,-0.0392137640311671
2021-06-11 19:27:00,204.09,204.11,203.88,203.99,-0.0489979910823628
2021-06-11 19:26:00,203.97,204.12,203.92,204.08,0.0539294994361982
2021-06-11 19:25:00,203.84,204.07,203.82,203.98,0.0686813186813119
2021-06-11 19:24:00,203.94,203.94,203.82,203.87,-0.0343238207315843
